transaction_id,ground_truth_status,ground_truth_reason,expected_exception_category
TX250071,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250072,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250073,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250074,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250075,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250076,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250077,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250078,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250079,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250080,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250081,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250082,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250083,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250084,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250085,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250086,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250087,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250088,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250089,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250090,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250091,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250092,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250093,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250094,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250095,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250096,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250097,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250098,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250099,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250100,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250101,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250102,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TX250103,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250104,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250105,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250106,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250107,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250108,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250109,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250110,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250111,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250112,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250113,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250114,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250115,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250116,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250117,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250118,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250119,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250120,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250121,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250122,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250123,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TX250124,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250125,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250126,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250127,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250128,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250129,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250130,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250131,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250132,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250133,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250134,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250135,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250136,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250137,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250138,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250139,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250140,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250141,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TX250142,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250143,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250144,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250145,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250146,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250147,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250148,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250149,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250150,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250151,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250152,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250153,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250154,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250155,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250156,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250157,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250158,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250159,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250160,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250161,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250162,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250163,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250164,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250165,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250166,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250167,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250168,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250169,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250170,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250171,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250172,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250173,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250174,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250175,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250176,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250177,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TX250178,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250179,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250180,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250181,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250182,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250183,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250184,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250185,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250186,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250187,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250188,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250189,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250190,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250191,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250192,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250193,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250194,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250195,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250196,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250197,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250198,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250199,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250200,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250201,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250202,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TX250203,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
UNKNOWN250204,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250205,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250206,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250207,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250208,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250209,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250210,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250211,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250212,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250213,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250214,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250215,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250216,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250217,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250218,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250219,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250220,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250221,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250222,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250223,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250224,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250225,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
UNKNOWN250226,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TX250227,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250228,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250229,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250230,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250231,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250232,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250233,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250234,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250235,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250236,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250237,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250238,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250239,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250240,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250241,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250242,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250243,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250244,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250245,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250246,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250247,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250248,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250249,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TX250250,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
