payment_id,order_id,transaction_id,payment_date,payment_time,amount,payment_status,payment_method
PAY3091,ORD1091,TXN9091,2026-08-12,10:15:00,799.0,CAPTURED,CARD
PAY3092,ORD1092,TXN9092,2026-08-13,10:15:00,1299.0,CAPTURED,UPI
PAY3093,ORD1093,TXN9093,2026-08-14,10:15:00,2499.0,CAPTURED,CARD
PAY3094,ORD1094,TXN9094,2026-08-15,10:15:00,4999.0,CAPTURED,UPI
PAY3095,ORD1095,TXN9095,2026-08-16,10:15:00,7999.0,CAPTURED,CARD
PAY3096,ORD1096,TXN9096,2026-08-17,10:15:00,12499.0,CAPTURED,UPI
PAY3097,ORD1097,TXN9097,2026-08-18,10:15:00,19999.0,CAPTURED,CARD
PAY3098,ORD1098,TXN9098,2026-08-19,10:15:00,29999.0,CAPTURED,UPI
PAY3099,ORD1099,TXN9099,2026-08-20,10:15:00,499.0,CAPTURED,CARD
PAY3100,ORD1100,TXN9100,2026-08-01,10:15:00,799.0,CAPTURED,UPI
