bank_transaction_id,settlement_id,transaction_date,transaction_time,reference,credit_amount,bank_status
BANK8066,SET7066,2026-08-08,10:30:00,TXN9066,1876.02,CREDITED
BANK8067,SET7067,2026-08-09,10:30:00,TXN9067,4881.02,CREDITED
BANK8068,SET7068,2026-08-10,10:30:00,TXN9068,7246.22,CREDITED
BANK8069,SET7069,2026-08-11,10:30:00,TXN9069,9079.27,CREDITED
BANK8070,SET7070,2026-08-18,10:30:00,TXN9070,19999.0,CREDITED
BANK8072,SET7072,2026-08-14,10:30:00,TXN9072,487.22,CREDITED
BANK8073,SET7073,2026-08-15,10:30:00,TXN9073,580.39,CREDITED
BANK8074,SET7074,2026-08-16,10:30:00,TXN9074,1268.34,CREDITED
BANK8075,SET7075,2026-08-23,10:30:00,TXN9075,2499.0,CREDITED
BANK8076,SET7076,2026-08-18,10:30:00,TXN9076,3631.27,CREDITED
BANK8078,SET7078,2026-08-20,10:30:00,TXN9078,12499.0,CREDITED
BANK8079,SET7079,2026-08-21,10:30:00,UNKNOWN9079,19999.0,CREDITED
BANK8080,SET7080,2026-08-02,10:30:00,TXN9080,21791.27,CREDITED
BANK8081,SET7081,2026-08-03,10:30:00,TXN9081,362.47,CREDITED
BANK8082,SET7082,2026-08-04,10:30:00,TXN9082,780.14,CREDITED
BANK8082D,SET7082,2026-08-04,10:31:00,TXN9082,780.14,CREDITED
BANK8083,SET7083,2026-08-05,10:30:00,TXN9083,1299.0,CREDITED
BANK8084,SET7084,2026-08-06,10:30:00,TXN9084,2499.0,CREDITED
BANK8085,SET7085,2026-08-07,10:30:00,TXN9085,4999.0,CREDITED
BANK8086,SET7086,2026-08-08,10:30:00,TXN9086,7810.22,CREDITED
BANK8087,SET7087,2026-08-09,10:30:00,TXN9087,12499.0,CREDITED
BANK8088,SET7088,2026-08-10,10:30:00,TXN9088,19999.0,CREDITED
BANK8089,SET7089,2026-08-11,10:30:00,TXN9089,29999.0,CREDITED
BANK8090,SET7090,2026-08-12,10:30:00,TXN9090,487.22,CREDITED
BANK8090D,SET7090,2026-08-12,10:31:00,TXN9090,487.22,CREDITED
BANK8091,SET7091,2026-08-13,10:30:00,TXN9091,-219.86,CREDITED
BANK8092,SET7092,2026-08-14,10:30:00,TXN9092,704.34,CREDITED
BANK8093,SET7093,2026-08-15,10:30:00,TXN9093,2440.02,CREDITED
BANK8093D,SET7093,2026-08-15,10:31:00,TXN9093,2440.02,CREDITED
BANK8095,SET7095,2026-08-17,10:30:00,TXN9095,7999.0,CREDITED
BANK8096,SET7096,2026-08-18,10:30:00,TXN9096,9079.27,CREDITED
BANK8097,SET7097,2026-08-19,10:30:00,TXN9097,18963.02,CREDITED
BANK8098,SET7098,2026-08-20,10:30:00,TXN9098,29999.0,CREDITED
BANK8099,SET7099,2026-08-21,10:30:00,TXN9099,-512.78,CREDITED
BANK8100,SET7100,2026-08-02,10:30:00,TXN9100,780.14,CREDITED
