transaction_id,ground_truth_status,ground_truth_reason,expected_exception_category
TXN9061,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9062,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9063,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9064,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9065,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9066,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9067,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9068,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9069,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9070,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9071,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9072,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9073,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9074,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9075,REVIEW,Requires human review: DATE_MISMATCH,DATE_MISMATCH
TXN9076,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9077,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9078,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9079,EXCEPTION,Unresolved exception: UNKNOWN_TRANSACTION,UNKNOWN_TRANSACTION
TXN9080,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9081,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9082,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9083,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9084,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9085,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9086,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TXN9087,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9088,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9089,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9090,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9091,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9092,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9093,REVIEW,Requires human review: DUPLICATE_TRANSACTION,DUPLICATE_TRANSACTION
TXN9094,EXCEPTION,Unresolved exception: MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN9095,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9096,MATCHED,Exact match or verified fee/refund adjustments,REFUND_ADJUSTED
TXN9097,EXCEPTION,Unresolved exception: AMOUNT_MISMATCH,AMOUNT_MISMATCH
TXN9098,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TXN9099,REVIEW,Requires human review: PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
TXN9100,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
